comment_text,label
Thật ra cái cfs nói ko sai mà. Lứa dv 8x còn chạy dài mới so đc với các tiền bối. Như mấy ông 7x lâu lâu đóng CF thôi cũng hot rần rần. Hay thỉnh thoảng nhả tí cơm chóa như Hyun Bin hay Lee Jun Ki (dù ông này cũng sn 82) cũng khiến con dân lụy.,0
JCW có bộ Tội Ác Kinh Hoàng hay qá trời mỗi tội kén ng xem. Diễn xuất đúng đột phá,1
"Lee Min Ho đẹp trai mà một màu quá, đóng vai gì thì đóng trông vẫn kiểu nhà giàu 🙂",0
"Xem SJK đóng cậu út nhà tài phiệt thấy tụt mood cả bộ phim, nét diễn nhạt chếch đi được, không chạm được đến tôi phát nào luôn 🙃",-1
"Trong này t công nhận diễn xuất của 3 ông
KSH, LJS, JCW",1
"Thực sự rất mê anh Ji Chang Wook, đẹp trai, diễn đỉnh! Mê nhất bộ The K2 của anh, xem đi xem lại k biết bao nhiêu lần.

Nhưng đúng là dạo này phong độ anh tụt giảm do chọn kịch bản xu….🥺",1
"JCW hay mà mấy bà, phim của ổng tui mê đứ đừ á",1
Ji Chang Wook của iem hết hot sao được chừi. Tội ác kinh hoàng của a ý đóng hay kinh điển luôn. Mng nên xem đi ạ,1
"Dù ai nói gì đi chăng nữa thì top 3 người diễn viên tôi tin tưởng nhất vẫn là.
Top 1 Lee Min Ho
Top 2 Lee Jong Suk
Top 3 Ji Chang wook
🙂",1
Vẫn mê mẩn mấy chú So Ji Sub với Lee Jun Ki nhé!,1
Park Seo Joon nữa nha,0
Lee Jong Suk đọc kịch bản kiểu. đọc phần đầu quên phần cuối 😢😢😢. về lật xe .,0
Mê anh Ji Chang Wook quá trời nhưng mà anh chọn kịch bản hên xui thật sự. Chứ mà hành động hay tình cảm gì anh cũng cân được hết. Mong anh chọn kịch bản ổn chút chứ t tiếc cái nhan sắc và diễn xuất này lắm luôn á,1
"Riêng t thì t hông nuốt nổi bộ nào của SJK chứ mấy anh kia thì xem cũng khá đầy đủ. Thấy mấy ổng nhiệt vẫn có, sắc vẫn ok, có LMH hơi bếu.",0
Queen of tears đỉnh vc,1
Từ ngày Queen of tears ra mắt :) anh Kim Soo Men đc ưu ái lên 7789 topic. Tha cho ổng đi. 3 năm mới comeback 1 lần,0
Vẫn thích xem phim của Lee Jong Suk nhất :)))),1
Kim so hyun mãi dính 😌,1
"Xin phép mang anh Kim So Men nhà mình về ạ. Anh nhà mình dạo này bị lôi lên nhiều quá, giờ chỉ chờ anh lên Ins PR phim thôi",0
"Quân vương bất diệt hay mà =)) lúc đầu t coi vì KGE, cơ mà phim đó LMH đẹp nha, outfit đỉnh v :)) kiểu nd nó hơi khó hiểu, cơ mà coi lại lần 2 3 thấy cuốn vcđ ý =))",1
"Thôi ạ, xin phép đem Tú Hiềng nhà e về, muốn so sánh gì thì bỏ ổng ra dùm cái. Anh nhà e lành tính, lâu lâu có phim ngoi lên PR r lặn luôn chứ cũng k có bon chen gì với ai đâu ạ. Em cám ơn =)))",0
Vẫn mê a Lee Jong Suk như ngày đầu biết đến a,1
"Chắc gu tui toàn mấy anh 8x flop 😂. Lee Joon Gi, Joo Ji Hoon, Ji Chang Wook. Hàn chỉ thích 3 ông này, xem phim của mấy ảnh thấy hợp, diễn xuất cũng tốt nữa.",1
Tui còn mê SJK thì ko thể nào hạ nhiệt a dc nhoa❤️,1
"Mê hết 5 anh này.
Nhưng mê nhất vẫn là chồng iu Hyun Bin 🥰",1
8x tôi thích anh Lee Dong Wook,1
"Không ưa anh Song Joong Ki nhưng công nhận chọn kịch bản hay, mê anh Ji Chang Wook mà công nhận anh chọn kịch bản xu quá trời xu.",0
Ủa chưa nghe qua pachinko luôn 🥴🥴,0
"Admin có thể chỉnh lại dấu má câu chữ của các confession được không? Mấy bài phán xét người khác mà trình bày cẩu thả kiểu này người ta đọc khó vào lắm ấy.

From fan của Lee Min Ho - ông Hoàng flop mà chả hiểu sao 11 năm liên tiếp đứng đầu danh sách diễn viên Hàn Quốc nổi tiếng nhất với khán giả quốc tế.",0
Quân vương bất diẹt hay mà. K quá nổi chứ k đến nỗi flop. Còn changwook thực sự sau nhập ngũ t chưa xem phim nào vì thấy đoạn cut thấy chán thật,0
Chào mừng đến samdalri hay mà,1
Mãi iu anh Úc 😘😘😘,1
Nói gì thì nói cứ phim nào có anh Hô là phải xem 😁,0
"Cái t thích ở Hàn là dù dv flop cỡ nào, già cỡ nào, xấu cỡ nào... nhưng khi casting đc kịch bản bạo, phim bạo... thì dv đều đi lên tăng nhiệt nhanh. Phim ra hiệu ứng đều tốt. Chứ ko phải như Cbiz, chăm chăm lưu lượng, nhiệt gì đó mà ra film như hạch 😑😑😑",0
Kể được rate dream high nhưng lại không dám đụng đến rating của MTOMT với VSDAD hả? Phim anh Hiềng đóng ít chứ giải thì anh ôm nhiều thứ 2 HQ nha. Phim vừa hot vừa có thành tích khẳng định thực lực có số liệu đàng hoàng chứ không phải nói mồm không đâu nha. Nói câu nữa là cái cúp thị đế Baeksang vô đầu liền à mà không cúp đó hơi to thôi để lấy cái cúp Best new actor của Grand Bell chọi là đủ rồi :)),0
"Ê chê Song Joong Ki thì chê chứ thật sự ông này có đi xuống đâu 🙄 2023 mới làm quả bom tấn truyền hình rating đài cáp mà 26% kìa, ko hề xuống luôn phong độ chọn kịch bản vẫn đỉnh",0
Trừ SJK vs LMH còn lại lứa này thích hết 😂 JCW đóng tội ác kinh hoàng đỉnh vcl,1
"Với mình thì Kim Soo Huyn, Lee Seung Gi và Lee Jun Ki mãi đỉnh! ❤️",1
"Thôi đừng lôi KSH làm j nữa; quá nhiều bài lôi KSH vào so sánh xong mn bash r, để yên cho KSH đóng phim thôi chứ giờ nhiều anti ngoi lên quá",0
"Chơi đ.á rồi viết bài à. Đừng kéo anti cho KSH nữa nha, ổng là yên phận nhất r đó. Để yên để xem ổng đóng phim. Không dưng mà cứ lôi ngta ra so vs sánh, mắc mệt",-1
"Cái con Big Mouth của cậu Suk tiếc thật chứ, hơn nửa phim đang làm rất tốt xong đuối dần và cuối cùng cái kết như biên kịch bị ai dí súng bắt viết vậy haizz.",0
Từ hồi li hôn là mặt SJK nó lồ lộ bản chất @@,-1
"Anh JCW đóng hành động các kiểu là bao ăn tiền, nhưng anh chọn làm nghề tử tế, chọn nhiều vai diễn ở các thể loại khác nhau để thử sức, ko muốn đóng khung mình trong bất cứ thể loại nào. Anh cũng chia sẻ là đóng film hành động thực sự rất gian khổ nên anh làm 2 bộ drama với 1 bộ điện ảnh là quá đủ rồi. Cho nên dù gần đây nhiều film flop do kịch bản thôi chứ diễn xuất của ảnh thì chưa thấy bộ nào flop hết trơn á.",0
Thiếu trấn thành anh em park seo jun nữa nha ad,0
Tôi vẫn mê JCW,1
Ủa Lee Jong Suk mà chưa phải hạng S sao,0
"Có mình t chưa xem fim của Song Joong Ki hả ta 🫢🫢
Mấy anh kia đều đã từng xem qua ít nhất 2-3 bộ rồi",0
Dù gì mấy a đẹp là dc hh,0
"thật sự mong Ji Chang Wook bốc đc phim nào kịch bản bùng nổ tí chứ anh có tất cả trừ kịch bản =)) nchung cũng có bộ ổn nhưng xuất sắc thì mình ko thấy lun, Hoàng hậu Ki chắc tốt nhất r",0
T lại thấy mỗi SJK hạ nhiệt th chứ mấy ng kia vấn thế =)),0
SJK giữ nhiệt bằng cách tạo drama,-1
"Vẫn cứ là mê Lee Jong Suk ,Ji Chang wook diễn 🤌",1
